Date,MSCI ACWI ex US
"Dec 31, 1987",100.000
"Jan 29, 1988",101.536
"Feb 29, 1988",108.126
"Mar 31, 1988",114.729
"Apr 29, 1988",116.245
"May 31, 1988",112.422
"Jun 30, 1988",109.812
"Jul 29, 1988",112.864
"Aug 31, 1988",105.460
"Sep 30, 1988",109.900
"Oct 31, 1988",118.782
"Nov 30, 1988",125.250
"Dec 30, 1988",125.874
"Jan 31, 1989",128.210
"Feb 28, 1989",128.625
"Mar 31, 1989",126.256
"Apr 28, 1989",127.676
"May 31, 1989",121.004
"Jun 30, 1989",118.581
"Jul 31, 1989",133.031
"Aug 31, 1989",127.343
"Sep 29, 1989",133.050
"Oct 31, 1989",128.009
"Nov 30, 1989",133.999
"Dec 29, 1989",138.858
"Jan 31, 1990",133.470
"Feb 28, 1990",124.428
"Mar 30, 1990",111.629
"Apr 30, 1990",110.485
"May 31, 1990",122.528
"Jun 29, 1990",121.325
"Jul 31, 1990",123.069
"Aug 31, 1990",111.136
"Sep 28, 1990",96.116
"Oct 31, 1990",109.710
"Nov 30, 1990",103.406
"Dec 31, 1990",105.069
"Jan 31, 1991",108.148
"Feb 28, 1991",119.559
"Mar 29, 1991",112.777
"Apr 30, 1991",113.785
"May 31, 1991",115.197
"Jun 28, 1991",106.992
"Jul 31, 1991",111.939
"Aug 30, 1991",109.817
"Sep 30, 1991",115.206
"Oct 31, 1991",117.025
"Nov 29, 1991",111.614
"Dec 31, 1991",117.200
"Jan 31, 1992",115.368
"Feb 28, 1992",111.622
"Mar 31, 1992",104.663
"Apr 30, 1992",104.785
"May 29, 1992",110.931
"Jun 30, 1992",105.352
"Jul 31, 1992",102.891
"Aug 31, 1992",108.154
"Sep 30, 1992",105.725
"Oct 30, 1992",100.888
"Nov 30, 1992",101.258
"Dec 31, 1992",101.919
"Jan 29, 1993",101.721
"Feb 26, 1993",104.651
"Mar 31, 1993",113.075
"Apr 30, 1993",122.836
"May 31, 1993",125.360
"Jun 30, 1993",123.659
"Jul 30, 1993",127.570
"Aug 31, 1993",134.226
"Sep 30, 1993",131.276
"Oct 29, 1993",135.837
"Nov 30, 1993",125.308
"Dec 31, 1993",134.895
"Jan 31, 1994",145.805
"Feb 28, 1994",144.515
"Mar 31, 1994",137.690
"Apr 29, 1994",142.150
"May 31, 1994",141.984
"Jun 30, 1994",142.779
"Jul 29, 1994",144.906
"Aug 31, 1994",149.575
"Sep 30, 1994",145.664
"Oct 31, 1994",149.359
"Nov 30, 1994",141.940
"Dec 30, 1994",141.405
"Jan 31, 1995",134.787
"Feb 28, 1995",133.836
"Mar 31, 1995",141.145
"Apr 28, 1995",146.409
"May 31, 1995",145.505
"Jun 30, 1995",143.241
"Jul 31, 1995",151.135
"Aug 31, 1995",145.660
"Sep 29, 1995",147.915
"Oct 31, 1995",143.735
"Nov 30, 1995",146.886
"Dec 29, 1995",152.450
"Jan 31, 1996",154.321
"Feb 29, 1996",154.083
"Mar 29, 1996",156.700
"Apr 30, 1996",161.172
"May 31, 1996",158.487
"Jun 28, 1996",159.031
"Jul 31, 1996",153.488
"Aug 30, 1996",154.139
"Sep 30, 1996",157.722
"Oct 31, 1996",155.908
"Nov 29, 1996",161.678
"Dec 31, 1996",159.560
"Jan 31, 1997",156.401
"Feb 28, 1997",159.042
"Mar 31, 1997",158.432
"Apr 30, 1997",159.474
"May 30, 1997",169.044
"Jun 30, 1997",178.103
"Jul 31, 1997",181.449
"Aug 29, 1997",166.933
"Sep 30, 1997",175.709
"Oct 31, 1997",160.512
"Nov 28, 1997",158.277
"Dec 31, 1997",159.841
"Jan 30, 1998",164.398
"Feb 27, 1998",175.137
"Mar 31, 1998",180.901
"Apr 30, 1998",181.924
"May 29, 1998",178.328
"Jun 30, 1998",177.401
"Jul 31, 1998",178.808
"Aug 31, 1998",153.312
"Sep 30, 1998",149.807
"Oct 30, 1998",165.251
"Nov 30, 1998",173.887
"Dec 31, 1998",179.593
"Jan 29, 1999",179.158
"Feb 26, 1999",174.903
"Mar 31, 1999",183.071
"Apr 30, 1999",191.963
"May 31, 1999",182.642
"Jun 30, 1999",190.770
"Jul 30, 1999",194.976
"Aug 31, 1999",195.397
"Sep 30, 1999",196.453
"Oct 29, 1999",203.512
"Nov 30, 1999",211.407
"Dec 31, 1999",231.313
"Jan 31, 2000",218.488
"Feb 29, 2000",224.151
"Mar 31, 2000",232.311
"Apr 28, 2000",219.074
"May 31, 2000",213.179
"Jun 30, 2000",221.930
"Jul 31, 2000",212.915
"Aug 31, 2000",215.292
"Sep 29, 2000",203.099
"Oct 31, 2000",196.417
"Nov 30, 2000",187.376
"Dec 29, 2000",193.525
"Jan 31, 2001",196.338
"Feb 28, 2001",180.639
"Mar 30, 2001",167.325
"Apr 30, 2001",178.261
"May 31, 2001",172.707
"Jun 29, 2001",165.759
"Jul 31, 2001",161.950
"Aug 31, 2001",157.618
"Sep 28, 2001",140.648
"Oct 31, 2001",144.547
"Nov 30, 2001",151.030
"Dec 31, 2001",152.918
"Jan 31, 2002",146.279
"Feb 28, 2002",147.143
"Mar 29, 2002",154.627
"Apr 30, 2002",155.219
"May 31, 2002",156.288
"Jun 28, 2002",149.237
"Jul 31, 2002",134.552
"Aug 30, 2002",134.224
"Sep 30, 2002",119.775
"Oct 31, 2002",126.103
"Nov 29, 2002",132.003
"Dec 31, 2002",127.644
"Jan 31, 2003",123.075
"Feb 28, 2003",120.321
"Mar 31, 2003",117.415
"Apr 30, 2003",128.134
"May 30, 2003",135.702
"Jun 30, 2003",139.079
"Jul 31, 2003",142.600
"Aug 29, 2003",146.473
"Sep 30, 2003",150.305
"Oct 31, 2003",159.925
"Nov 28, 2003",163.151
"Dec 31, 2003",175.509
"Jan 30, 2004",178.189
"Feb 27, 2004",182.473
"Mar 31, 2004",182.824
"Apr 30, 2004",176.498
"May 31, 2004",176.233
"Jun 30, 2004",179.635
"Jul 30, 2004",174.206
"Aug 31, 2004",175.118
"Sep 30, 2004",180.460
"Oct 29, 2004",186.584
"Nov 30, 2004",199.156
"Dec 31, 2004",207.549
"Jan 31, 2005",203.809
"Feb 28, 2005",213.455
"Mar 31, 2005",206.854
"Apr 29, 2005",200.814
"May 31, 2005",201.059
"Jun 30, 2005",204.328
"Jul 29, 2005",211.654
"Aug 31, 2005",216.466
"Sep 30, 2005",227.191
"Oct 31, 2005",218.786
"Nov 30, 2005",225.689
"Dec 30, 2005",236.376
"Jan 31, 2006",252.664
"Feb 28, 2006",251.591
"Mar 31, 2006",257.882
