Date,MSCI World ex US
"Dec 31, 1969",100.000
"Jan 30, 1970",97.655
"Feb 27, 1970",96.154
"Mar 31, 1970",95.857
"Apr 30, 1970",85.564
"May 29, 1970",79.005
"Jun 30, 1970",79.616
"Jul 31, 1970",82.500
"Aug 31, 1970",83.872
"Sep 30, 1970",86.212
"Oct 30, 1970",83.612
"Nov 30, 1970",80.539
"Dec 31, 1970",83.169
"Jan 29, 1971",86.822
"Feb 26, 1971",87.642
"Mar 31, 1971",91.874
"Apr 30, 1971",93.632
"May 31, 1971",94.157
"Jun 30, 1971",95.568
"Jul 30, 1971",97.775
"Aug 31, 1971",96.022
"Sep 30, 1971",95.532
"Oct 29, 1971",91.302
"Nov 30, 1971",92.736
"Dec 31, 1971",106.628
"Jan 31, 1972",114.130
"Feb 29, 1972",120.791
"Mar 31, 1972",121.788
"Apr 28, 1972",126.216
"May 31, 1972",134.552
"Jun 30, 1972",129.708
"Jul 31, 1972",137.525
"Aug 31, 1972",138.917
"Sep 29, 1972",131.937
"Oct 31, 1972",131.481
"Nov 30, 1972",142.083
"Dec 29, 1972",144.924
"Jan 31, 1973",151.219
"Feb 28, 1973",166.424
"Mar 30, 1973",169.828
"Apr 30, 1973",157.902
"May 31, 1973",160.323
"Jun 29, 1973",162.222
"Jul 31, 1973",162.004
"Aug 31, 1973",152.887
"Sep 28, 1973",155.384
"Oct 31, 1973",158.018
"Nov 30, 1973",131.816
"Dec 31, 1973",125.497
"Jan 31, 1974",130.855
"Feb 28, 1974",135.800
"Mar 29, 1974",131.864
"Apr 30, 1974",133.657
"May 31, 1974",126.218
"Jun 28, 1974",119.393
"Jul 31, 1974",115.636
"Aug 30, 1974",103.201
"Sep 30, 1974",96.846
"Oct 31, 1974",96.354
"Nov 29, 1974",99.073
"Dec 31, 1974",97.663
"Jan 31, 1975",113.723
"Feb 28, 1975",127.138
"Mar 31, 1975",125.265
"Apr 30, 1975",129.651
"May 30, 1975",128.945
"Jun 30, 1975",124.476
"Jul 31, 1975",119.384
"Aug 29, 1975",118.362
"Sep 30, 1975",112.105
"Oct 31, 1975",119.622
"Nov 28, 1975",122.224
"Dec 31, 1975",123.894
"Jan 30, 1976",130.334
"Feb 27, 1976",129.687
"Mar 31, 1976",126.880
"Apr 30, 1976",126.344
"May 31, 1976",122.966
"Jun 30, 1976",124.116
"Jul 30, 1976",122.024
"Aug 31, 1976",121.294
"Sep 30, 1976",119.005
"Oct 29, 1976",111.564
"Nov 30, 1976",110.956
"Dec 31, 1976",123.094
"Jan 31, 1977",121.624
"Feb 28, 1977",123.751
"Mar 31, 1977",123.662
"Apr 29, 1977",126.134
"May 31, 1977",125.075
"Jun 30, 1977",127.660
"Jul 29, 1977",125.517
"Aug 31, 1977",129.668
"Sep 30, 1977",133.071
"Oct 31, 1977",134.699
"Nov 30, 1977",133.927
"Dec 30, 1977",138.651
"Jan 31, 1978",139.158
"Feb 28, 1978",140.120
"Mar 31, 1978",149.401
"Apr 28, 1978",148.017
"May 31, 1978",151.066
"Jun 30, 1978",156.711
"Jul 31, 1978",169.660
"Aug 31, 1978",172.637
"Sep 29, 1978",177.214
"Oct 31, 1978",185.304
"Nov 30, 1978",169.325
"Dec 29, 1978",176.987
"Jan 31, 1979",177.852
"Feb 28, 1979",177.007
"Mar 30, 1979",181.470
"Apr 30, 1979",180.676
"May 31, 1979",177.648
"Jun 29, 1979",180.847
"Jul 31, 1979",181.296
"Aug 31, 1979",186.619
"Sep 28, 1979",195.023
"Oct 31, 1979",178.318
"Nov 30, 1979",181.659
"Dec 31, 1979",188.109
"Jan 31, 1980",199.142
"Feb 29, 1980",200.977
"Mar 31, 1980",175.394
"Apr 30, 1980",190.401
"May 30, 1980",199.657
"Jun 30, 1980",211.804
"Jul 31, 1980",211.124
"Aug 29, 1980",217.530
"Sep 30, 1980",224.725
"Oct 31, 1980",231.752
"Nov 28, 1980",227.653
"Dec 31, 1980",225.415
"Jan 30, 1981",220.362
"Feb 27, 1981",216.733
"Mar 31, 1981",224.641
"Apr 30, 1981",228.793
"May 29, 1981",220.348
"Jun 30, 1981",219.806
"Jul 31, 1981",210.301
"Aug 31, 1981",214.622
"Sep 30, 1981",192.049
"Oct 30, 1981",193.690
"Nov 30, 1981",214.445
"Dec 31, 1981",210.827
"Jan 29, 1982",206.748
"Feb 26, 1982",192.045
"Mar 31, 1982",181.973
"Apr 30, 1982",191.761
"May 31, 1982",188.445
"Jun 30, 1982",172.896
"Jul 30, 1982",171.492
"Aug 31, 1982",173.603
"Sep 30, 1982",172.295
"Oct 29, 1982",174.344
"Nov 30, 1982",186.914
"Dec 31, 1982",201.990
"Jan 31, 1983",201.244
"Feb 28, 1983",205.171
"Mar 31, 1983",212.309
"Apr 29, 1983",225.194
"May 31, 1983",224.460
"Jun 30, 1983",229.070
"Jul 29, 1983",229.258
"Aug 31, 1983",225.762
"Sep 30, 1983",232.288
"Oct 31, 1983",229.175
"Nov 30, 1983",236.163
"Dec 30, 1983",244.434
"Jan 31, 1984",252.018
"Feb 29, 1984",254.927
"Mar 30, 1984",274.567
"Apr 30, 1984",269.279
"May 31, 1984",243.379
"Jun 29, 1984",241.758
"Jul 31, 1984",225.474
"Aug 31, 1984",245.569
"Sep 28, 1984",242.767
"Oct 31, 1984",246.725
"Nov 30, 1984",242.784
"Dec 31, 1984",245.972
"Jan 31, 1985",252.444
"Feb 28, 1985",249.598
"Mar 29, 1985",267.777
"Apr 30, 1985",266.539
"May 31, 1985",276.678
"Jun 28, 1985",282.280
"Jul 31, 1985",295.328
"Aug 30, 1985",302.872
"Sep 30, 1985",316.963
"Oct 31, 1985",334.817
"Nov 29, 1985",348.867
"Dec 31, 1985",363.191
"Jan 31, 1986",371.026
"Feb 28, 1986",408.819
"Mar 31, 1986",463.471
"Apr 30, 1986",491.333
"May 30, 1986",470.008
"Jun 30, 1986",498.791
"Jul 31, 1986",526.023
"Aug 29, 1986",576.296
"Sep 30, 1986",570.451
"Oct 31, 1986",533.669
"Nov 28, 1986",562.831
"Dec 31, 1986",590.842
"Jan 30, 1987",653.954
"Feb 27, 1987",673.671
"Mar 31, 1987",729.766
"Apr 30, 1987",801.640
"May 29, 1987",800.295
"Jun 30, 1987",776.517
"Jul 31, 1987",778.898
"Aug 31, 1987",833.519
